10165 6231
-3814 113
-7099 -2749
3409 -8828
-7416 2352
-10904 17575
-72 5780
-2556 74
13401 -8174
24832 -5676
-13460 2572
4495 -25737
-2160 7700
-13845 11012
3620 -2034
-9434 -6986
-15467 8738
-8027 -4431
5574 -3833
1814 9437
5206 -440
895 -8965
9987 1653
-14712 -10319
3419 9046
4237 -5478
5566 -1249
12027 662
-6871 8919
-1179 14802
-20151 3671
-9724 5343
8724 9716
-13424 -409
13231 11295
-5915 3055
-157 21274
-16749 2077
733 -8815
-2807 -5961
12260 -13565
-4 -18260
-395 1662
-1784 3911
19270 9026
-3344 -4796
-15425 -6612
7947 -5834
2281 -10633
1016 23344
8850 6280
9956 192
-7063 10501
-4273 15846
-9919 7385
-11599 5420
426 -1032
6146 -18583
-9501 -10161
12535 8424
2640 -632
-2966 3297
-16082 3968
-3821 -12283
439 -3224
5295 -7923
2912 -13986
14741 6296
17771 -1208
10950 2796
-5528 -6052
-2338 -2896
-1025 2937
-7603 11126
175 -11887
-3827 3006
874 6593
11822 11639
-6193 11855
-11620 -11977
8468 -5070
7725 3540
-451 -1395
265 9312
18991 11744
4664 24539
2657 -17926
1458 504
-7731 -2085
8566 -13432
21827 -5629
-18782 13180
4148 4063
8096 13826
-10640 19447
-5786 32
-5730 -5052
-10459 -16608
4633 -9222
12805 -12097
6295 -4955
7331 -1882
-2693 -4461
9426 -8401
-2206 -3683
3361 -2431
12307 -11129
2209 1182
4316 128
5543 2725
-599 15121
-13839 26908
-1638 11445
-19058 5783
-7400 -2955
-13960 -3009
12244 2023
2494 -5521
4710 -11781
-4045 5113
10291 -6597
-6893 -16
9041 -13047
12775 -17044
1495 -16136
11136 2447
7172 20933
21147 7879
-9637 10087
-17168 4694
-815 2491
-10196 19212
-4587 -8010
4635 -675
-10382 -2826
7627 10354
-1082 5218
